pitch_id,pitcher_id,pa_of_inning,pitch_of_pa,inning,outs,balls,strikes,batter_side,pitcher_throws,pitch_type,pitch_call,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,runner_on_first_id,runner_on_second_id,runner_on_third_id,post_runner_on_first_id,post_runner_on_second_id,post_runner_on_third_id,hit_type,play_result,direction,exit_speed,angle,distance,bearing,venue
6a26cff6-cbfa-451e-b83b-a7297dace85e,player_b,5,3,3,1,1,1,right,left,slider,foul_ball,80.45597801,2738.765924,4:15,5.487944023,-2.315781032,5.400631184,-43.45886217,-1.857040509,9.13724594,2.514458245,-0.509667406,0.964614034,669352,675662,,669352,675662,,,foul_ball,107.4519464,70.58600992,57.19677065,179.9126734,115.0882753,Dell Diamond
8119e4c3-2918-4e73-a691-9b44bb8d13a4,player_a,2,3,5,0,0,2,left,right,curveball,strike_called,84.90156,2306.744919,7:45,5.43429,2.20767,5.08387,-51.88651,-11.75197,-14.93343,3.25028,0.17044,0.594681382,681393,,,681393,,,,,,,,,,PrinceGeorge
d0ca5218-d825-447c-ba0d-ed8802c8d453,player_b,1,7,5,0,2,2,right,left,four_seam,ball_called,93.135679,2228.037545,10:30,5.742124446,-2.185654746,5.61798375,-17.65622084,14.33248133,-11.37877551,4.673354829,-0.020016058,0.001216645,,,,,,,,,,,,,,Sutter Health Park
aa1b2068-6765-48b2-ace7-db42deee456d,player_a,1,5,4,0,3,1,left,right,slider,strike_called,84.574976,2526.947358,7:15,5.405,2.348532,5.820587,-41.71479,-2.265703,-11.90671,3.424582,0.74838,0.418924928,,,,600902,,,,,,,,,,The Diamond
c79b28c1-21ce-4a6f-82a3-b15f503c1b4e,player_b,3,4,3,1,2,1,right,left,four_seam,foul_ball,93.24080171,2243.382703,10:30,5.744746848,-2.366589051,5.675550443,-15.59198724,15.91562094,-12.88583959,2.900948734,-0.339734218,0.949962556,,656449,,,656449,,,foul_ball,76.44417011,85.04892909,49.1147195,270.4538774,90.79902305,Sutter Health Park
b5244034-7e2c-4440-9659-81710ea46d2b,player_a,7,1,3,2,0,0,right,right,slider,strike_called,85.54367,2565.476878,9:15,5.32553,2.43156,5.36442,-36.56889,2.5145,-8.80005,1.85595,-0.82842,0.499361962,,,,,,,,,,,,,,NaturalGasField
6963bdb7-37d5-4fc9-b347-d370376d83f0,player_b,1,2,3,0,1,0,right,left,four_seam,ball_called,92.45532336,2248.341225,10:30,6.061169566,-2.000229489,5.599051768,-14.00670534,18.31953786,-9.928406732,2.206802323,1.298903403,0.036598794,,,,,,,,,,,,,,Sutter Health Park
a20edd36-ed9f-4add-b6c7-5919c7afbcd2,player_a,3,2,6,2,1,0,left,right,curveball,strike_called,84.892406,2513.419832,6:45,5.741864,1.869152,5.493395,-50.401176,-11.475847,-6.507111,2.420996,0.354745,0.98861289,,,,,,,,,,,,,,The Diamond
73ec845c-b08e-401b-936c-248e136f0469,player_b,8,3,2,2,1,1,right,left,changeup,ball_called,88.10322303,2093.731076,10:15,5.522126214,-2.260571652,5.838801394,-26.88601861,8.689721338,-12.94562118,3.616101534,-0.903171162,0.039822575,,694175,,,694175,,,,,,,,,Sutter Health Park
4516d6ff-89c6-441d-8d5a-6702a19f9f4a,player_a,4,5,2,1,2,2,right,right,curveball,strike_swinging,85.63777,2562.316428,6:45,5.51255,2.27343,5.27667,-50.72284,-11.27071,-5.49796,1.12085,-1.44124,0.001822298,688610,687981,,688610,687981,,,,,,,,,PrinceGeorge
507ba687-7669-45e9-9d75-9a42292f6671,player_a,2,2,2,0,1,0,right,right,four_seam,in_play,92.625645,2397.915561,1:15,5.61327,1.659364,5.926072,-25.909809,6.61789,9.093729,2.682631,0.052121,0.987545311,669898,,,687401,669898,,hard_ground_ball,single,27.857886,102.378474,-2.390789,36.058338,28.744152,The Diamond
2f9802bd-1d2b-4aea-99c2-a6e477bb8215,player_a,2,5,1,1,2,2,right,right,slider,strike_swinging,85.477191,2671.194166,7:30,5.359152,2.641869,5.762957,-37.856894,0.679381,-15.614365,2.093639,-1.020902,0.222182617,,,,,,,,,,,,,,The Diamond
cbf6b673-1d91-42bf-8a07-58ba83a2d274,player_a,6,5,1,2,3,1,right,right,slider,foul_ball,84.198116,2524.501186,8:00,5.543197,1.920536,5.969909,-31.688408,8.272599,-14.356548,2.813651,-1.133139,0.13379778,,,,,,,,foul_ball,87.958772,48.456157,0.569353,32.3483,84.694851,UPMC Park
741c1e10-7c15-4dd4-b9bc-ca45c77c9be7,player_b,3,3,1,2,0,2,right,left,slider,in_play,80.83347642,2872.210693,4:45,5.725899342,-2.344203742,5.617281829,-41.9564756,-1.544909945,7.8317764,1.714437092,-0.061809147,0.321221739,,,,,,,medium_fly_ball,out,-9.13986235,85.03689961,31.37794674,336.8433921,-6.873596903,Southwest University Park
